country;year;iso_code;population;gdp;biofuel_electricity;biofuel_share_elec;coal_electricity;coal_share_elec;gas_electricity;gas_share_elec;hydro_electricity;hydro_share_elec;nuclear_electricity;nuclear_share_elec;oil_electricity;oil_share_elec;solar_electricity;solar_share_elec;wind_electricity;wind_share_elec
Colombia;2006;COL;42772912.0;420000000000.0;0.53;0.994;2.84;5.324;7.38;13.836;42.31;79.321;0.0;0.0;0.21;0.394;0.01;0.019;0.06;0.112
Colombia;2007;COL;43306592.0;449000000000.0;0.53;0.967;3.39;6.187;6.57;11.991;44.0;80.307;0.0;0.0;0.24;0.438;0.01;0.018;0.05;0.091
Colombia;2008;COL;43815316.0;464000000000.0;0.54;0.973;2.92;5.263;5.76;10.382;45.94;82.805;0.0;0.0;0.26;0.469;0.01;0.018;0.05;0.09
Colombia;2009;COL;44313916.0;471000000000.0;0.54;0.952;4.17;7.348;10.94;19.278;40.64;71.612;0.0;0.0;0.39;0.687;0.01;0.018;0.06;0.106
Colombia;2010;COL;44816104.0;490000000000.0;2.42;4.018;4.04;6.708;11.97;19.874;40.0;66.412;0.0;0.0;1.75;2.906;0.01;0.017;0.04;0.066
Colombia;2011;COL;45308896.0;521000000000.0;2.0;3.241;2.25;3.647;7.64;12.382;48.39;78.428;0.0;0.0;1.37;2.22;0.01;0.016;0.04;0.065
Colombia;2012;COL;45782420.0;542000000000.0;1.95;3.092;3.36;5.328;8.99;14.256;47.11;74.707;0.0;0.0;1.59;2.521;0.01;0.016;0.05;0.079
Colombia;2013;COL;46237928.0;570000000000.0;1.05;1.428;6.04;8.217;15.36;20.895;49.76;67.691;0.0;0.0;1.23;1.673;0.01;0.014;0.06;0.082
Colombia;2014;COL;46677944.0;595000000000.0;1.35;1.916;5.46;7.749;14.24;20.21;47.25;67.059;0.0;0.0;2.08;2.952;0.01;0.014;0.07;0.099
Colombia;2015;COL;47119728.0;613000000000.0;1.37;1.757;7.06;9.055;17.95;23.022;47.94;61.485;0.0;0.0;3.57;4.579;0.01;0.013;0.07;0.09
Colombia;2016;COL;47625960.0;626000000000.0;1.46;1.917;6.18;8.113;15.9;20.874;48.46;63.621;0.0;0.0;4.11;5.396;0.01;0.013;0.05;0.066
Colombia;2017;COL;48351668.0;634000000000.0;1.42;1.81;3.15;4.014;11.01;14.031;60.64;77.278;0.0;0.0;2.24;2.855;0.01;0.013;0.0;0.0
Colombia;2018;COL;49276968.0;650000000000.0;1.45;1.854;4.52;5.779;11.62;14.857;58.19;74.402;0.0;0.0;2.37;3.03;0.02;0.026;0.04;0.051
Colombia;2019;COL;50187404.0;671000000000.0;1.57;1.993;8.13;10.32;13.16;16.705;52.98;67.251;0.0;0.0;2.75;3.491;0.13;0.165;0.06;0.076
Colombia;2020;COL;50930656.0;622000000000.0;2.15;2.756;9.37;12.013;15.19;19.474;48.44;62.103;0.0;0.0;2.65;3.397;0.19;0.244;0.01;0.013
Colombia;2021;COL;51516560.0;691000000000.0;2.24;2.653;4.5;5.33;13.76;16.299;60.7;71.902;0.0;0.0;2.83;3.352;0.33;0.391;0.06;0.071
Colombia;2022;COL;51874028.0;743000000000.0;2.18;2.558;4.4;5.164;16.76;19.669;58.73;68.924;0.0;0.0;2.75;3.227;0.33;0.387;0.06;0.07
Colombia;2023;COL;52085168.0;;2.18;2.513;8.51;9.811;17.6;20.291;54.24;62.532;0.0;0.0;2.96;3.412;1.04;1.199;0.21;0.242
