country,year,iso_code,population,gdp,biofuel_electricity,biofuel_share_elec,coal_electricity,coal_share_elec,electricity_demand,electricity_generation,gas_electricity,gas_share_elec,greenhouse_gas_emissions,hydro_electricity,hydro_share_elec,net_elec_imports,nuclear_electricity,nuclear_share_elec,oil_electricity,oil_share_elec,solar_electricity,solar_share_elec,wind_electricity,wind_share_elec
Argentina,1983,ARG,29377144.0,351000000000.0,,,,,,,,,,18.419,,,3.405,,,,,,,
Argentina,1984,ARG,29832200.0,358000000000.0,,,,,,,,,,19.878,,,4.641,,,,,,,
Argentina,1985,ARG,30287120.0,334000000000.0,,,0.607,1.34,,45.304,12.452,27.485,,20.653,45.588,,5.766,12.727,5.706,12.595,,,,
Argentina,1986,ARG,30748332.0,359000000000.0,,,1.013,2.066,,49.022,13.25,27.028,,21.03,42.899,,5.711,11.65,7.894,16.103,,,,
Argentina,1987,ARG,31216450.0,368000000000.0,,,1.016,1.95,,52.115,12.538,24.058,,21.913,42.046,,6.465,12.405,10.078,19.338,,,,
Argentina,1988,ARG,31690790.0,361000000000.0,,,1.586,3.021,,52.5,21.067,40.129,,15.259,29.065,,5.798,11.044,8.635,16.448,,,,
Argentina,1989,ARG,32165770.0,339000000000.0,,,0.865,1.701,,50.863,24.335,47.845,,13.187,25.927,,5.039,9.907,7.204,14.164,,,,
Argentina,1990,ARG,32637658.0,339000000000.0,,,0.66,1.294,,51.005,19.85,38.917,,17.713,34.728,,7.281,14.275,4.944,9.693,0.0,0.0,0.0,0.0
Argentina,1991,ARG,33105766.0,376000000000.0,,,0.926,1.719,,53.854,20.967,38.933,,15.869,29.467,,7.756,14.402,7.619,14.147,0.0,0.0,0.0,0.0
Argentina,1992,ARG,33568280.0,417000000000.0,,,0.834,1.486,,56.107,20.795,37.063,,19.165,34.158,,7.081,12.621,7.661,13.654,0.0,0.0,0.0,0.0
Argentina,1993,ARG,34027240.0,445000000000.0,,,1.18,1.907,,61.869,21.994,35.55,,23.768,38.417,,7.75,12.527,6.693,10.818,0.0,0.0,0.0,0.0
Argentina,1994,ARG,34488696.0,473000000000.0,,,2.348,3.578,,65.622,22.719,34.622,,27.287,41.582,,8.235,12.549,4.557,6.944,0.0,0.0,0.0,0.0
Argentina,1995,ARG,34946116.0,462000000000.0,,,1.908,2.841,,67.169,26.501,39.453,,26.504,39.458,,7.066,10.52,4.585,6.826,0.0,0.0,0.0,0.0
Argentina,1996,ARG,35389360.0,489000000000.0,,,1.917,2.748,,69.76,32.545,46.654,,22.472,32.213,,7.459,10.692,4.624,6.628,0.0,0.0,0.01,0.014
Argentina,1997,ARG,35815968.0,532000000000.0,,,1.896,2.617,,72.462,32.188,44.421,,27.925,38.537,,7.961,10.986,2.042,2.818,0.0,0.0,0.015,0.02
Argentina,1998,ARG,36233196.0,555000000000.0,,,1.808,2.438,,74.17,34.263,46.195,,26.476,35.696,,7.453,10.049,3.81,5.137,0.0,0.0,0.033,0.044
Argentina,1999,ARG,36653032.0,538000000000.0,,,2.106,2.608,,80.745,45.732,56.638,,21.397,26.499,,7.106,8.801,3.831,4.745,0.0,0.0,0.035,0.043
Argentina,2000,ARG,37070772.0,536000000000.0,0.39,0.438,1.78,2.0,90.2,88.98,48.88,54.934,31.63,28.58,32.12,1.22,6.18,6.945,3.14,3.529,0.0,0.0,0.03,0.034
Argentina,2001,ARG,37480492.0,515000000000.0,0.36,0.399,1.36,1.509,91.89,90.14,43.26,47.992,27.23,36.58,40.581,1.75,7.06,7.832,1.47,1.631,0.0,0.0,0.05,0.055
Argentina,2002,ARG,37885024.0,461000000000.0,0.53,0.627,0.81,0.958,90.51,84.59,40.71,48.126,24.94,35.78,42.298,5.92,5.82,6.88,0.87,1.028,0.0,0.0,0.07,0.083
Argentina,2003,ARG,38278164.0,503000000000.0,0.88,0.956,0.94,1.021,97.1,92.07,47.75,51.863,29.13,33.8,36.711,5.03,7.57,8.222,1.05,1.14,0.0,0.0,0.08,0.087
Argentina,2004,ARG,38668796.0,550000000000.0,0.87,0.868,1.68,1.676,103.73,100.26,55.21,55.067,35.86,30.46,30.381,3.47,7.87,7.85,4.1,4.089,0.0,0.0,0.07,0.07
Argentina,2005,ARG,39070504.0,601000000000.0,0.92,0.87,2.18,2.061,109.63,105.75,55.7,52.671,37.77,34.22,32.359,3.88,6.87,6.496,5.79,5.475,0.0,0.0,0.07,0.066
Argentina,2006,ARG,39476856.0,652000000000.0,1.05,0.926,1.99,1.754,115.79,113.43,56.4,49.722,39.69,38.02,33.518,2.36,7.72,6.806,8.18,7.211,0.0,0.0,0.07,0.062
Argentina,2007,ARG,39876116.0,715000000000.0,1.07,0.943,2.34,2.061,121.12,113.52,60.18,53.013,44.05,31.22,27.502,7.6,7.25,6.387,11.4,10.042,0.0,0.0,0.06,0.053
Argentina,2008,ARG,40273768.0,747000000000.0,1.21,0.993,1.94,1.591,127.39,121.91,65.41,53.654,48.84,31.2,25.593,5.48,7.39,6.062,14.72,12.074,0.0,0.0,0.04,0.033
Argentina,2009,ARG,40684344.0,706000000000.0,1.19,0.973,1.75,1.431,128.48,122.32,61.7,50.441,46.77,34.62,28.303,6.16,8.18,6.687,14.84,12.132,0.0,0.0,0.04,0.033
Argentina,2010,ARG,41100124.0,786000000000.0,1.38,1.095,3.01,2.389,134.6,126.0,63.81,50.643,50.6,33.36,26.476,8.6,7.21,5.722,17.2,13.651,0.0,0.0,0.03,0.024
Argentina,2011,ARG,41520736.0,838000000000.0,1.39,1.073,2.91,2.247,139.16,129.49,67.86,52.406,54.37,31.19,24.087,9.67,6.4,4.942,19.71,15.221,0.0,0.0,0.03,0.023
Argentina,2012,ARG,41952364.0,829000000000.0,1.45,1.066,2.64,1.941,143.63,136.02,76.23,56.043,58.78,29.16,21.438,7.61,6.4,4.705,19.76,14.527,0.01,0.007,0.37,0.272
Argentina,2013,ARG,42388268.0,849000000000.0,1.53,1.097,2.38,1.707,147.51,139.45,74.7,53.568,58.88,32.77,23.499,8.06,6.21,4.453,21.39,15.339,0.02,0.014,0.45,0.323
Argentina,2014,ARG,42824064.0,828000000000.0,1.48,1.068,2.54,1.833,148.4,138.54,76.16,54.973,58.76,32.42,23.401,9.86,5.51,3.977,19.79,14.285,0.02,0.014,0.62,0.448
Argentina,2015,ARG,43257064.0,850000000000.0,1.49,1.025,2.39,1.644,154.38,145.42,79.11,54.401,62.03,32.34,22.239,8.96,7.04,4.841,22.45,15.438,0.01,0.007,0.59,0.406
Argentina,2016,ARG,43668236.0,833000000000.0,1.18,0.802,1.93,1.311,156.7,147.18,84.28,57.263,63.57,29.75,20.213,9.52,8.28,5.626,21.2,14.404,0.01,0.007,0.55,0.374
Argentina,2017,ARG,44054616.0,856000000000.0,1.46,1.003,2.01,1.38,156.07,145.61,91.21,62.64,61.94,31.59,21.695,10.46,6.09,4.182,12.62,8.667,0.02,0.014,0.61,0.419
