country,year,iso_code,population,gdp,biofuel_electricity,biofuel_share_elec,coal_electricity,coal_share_elec,gas_electricity,gas_share_elec,hydro_electricity,hydro_share_elec,nuclear_electricity,nuclear_share_elec,oil_electricity,oil_share_elec,solar_electricity,solar_share_elec,wind_electricity,wind_share_elec
Argentina,2000,ARG,37070772,5.36E+11,0.39,0.438,1.78,2,48.88,54.934,28.58,32.12,6.18,6.945,3.14,3.529,0,0,0.03,0.034
Argentina,2001,ARG,37480492,5.15E+11,0.36,0.399,1.36,1.509,43.26,47.992,36.58,40.581,7.06,7.832,1.47,1.631,0,0,0.05,0.055
Argentina,2002,ARG,37885024,4.61E+11,0.53,0.627,0.81,0.958,40.71,48.126,35.78,42.298,5.82,6.88,0.87,1.028,0,0,0.07,0.083
Argentina,2003,ARG,38278164,5.03E+11,0.88,0.956,0.94,1.021,47.75,51.863,33.8,36.711,7.57,8.222,1.05,1.14,0,0,0.08,0.087
Argentina,2004,ARG,38668796,5.5E+11,0.87,0.868,1.68,1.676,55.21,55.067,30.46,30.381,7.87,7.85,4.1,4.089,0,0,0.07,0.07
Argentina,2005,ARG,39070504,6.01E+11,0.92,0.87,2.18,2.061,55.7,52.671,34.22,32.359,6.87,6.496,5.79,5.475,0,0,0.07,0.066
Argentina,2006,ARG,39476856,6.52E+11,1.05,0.926,1.99,1.754,56.4,49.722,38.02,33.518,7.72,6.806,8.18,7.211,0,0,0.07,0.062
Argentina,2007,ARG,39876116,7.15E+11,1.07,0.943,2.34,2.061,60.18,53.013,31.22,27.502,7.25,6.387,11.4,10.042,0,0,0.06,0.053
Argentina,2008,ARG,40273768,7.47E+11,1.21,0.993,1.94,1.591,65.41,53.654,31.2,25.593,7.39,6.062,14.72,12.074,0,0,0.04,0.033
Argentina,2009,ARG,40684344,7.06E+11,1.19,0.973,1.75,1.431,61.7,50.441,34.62,28.303,8.18,6.687,14.84,12.132,0,0,0.04,0.033
Argentina,2010,ARG,41100124,7.86E+11,1.38,1.095,3.01,2.389,63.81,50.643,33.36,26.476,7.21,5.722,17.2,13.651,0,0,0.03,0.024
Argentina,2011,ARG,41520736,8.38E+11,1.39,1.073,2.91,2.247,67.86,52.406,31.19,24.087,6.4,4.942,19.71,15.221,0,0,0.03,0.023
Argentina,2012,ARG,41952364,8.29E+11,1.45,1.066,2.64,1.941,76.23,56.043,29.16,21.438,6.4,4.705,19.76,14.527,0.01,0.007,0.37,0.272
Argentina,2013,ARG,42388268,8.49E+11,1.53,1.097,2.38,1.707,74.7,53.568,32.77,23.499,6.21,4.453,21.39,15.339,0.02,0.014,0.45,0.323
Argentina,2014,ARG,42824064,8.28E+11,1.48,1.068,2.54,1.833,76.16,54.973,32.42,23.401,5.51,3.977,19.79,14.285,0.02,0.014,0.62,0.448
Argentina,2015,ARG,43257064,8.5E+11,1.49,1.025,2.39,1.644,79.11,54.401,32.34,22.239,7.04,4.841,22.45,15.438,0.01,0.007,0.59,0.406
Argentina,2016,ARG,43668236,8.33E+11,1.18,0.802,1.93,1.311,84.28,57.263,29.75,20.213,8.28,5.626,21.2,14.404,0.01,0.007,0.55,0.374
Argentina,2017,ARG,44054616,8.56E+11,1.46,1.003,2.01,1.38,91.21,62.64,31.59,21.695,6.09,4.182,12.62,8.667,0.02,0.014,0.61,0.419
Argentina,2018,ARG,44413592,8.34E+11,1.42,0.967,2.03,1.383,95.35,64.961,32.28,21.992,6.87,4.68,7.31,4.98,0.11,0.075,1.41,0.961
Argentina,2019,ARG,44745516,8.17E+11,1.48,1.061,1.17,0.839,91.31,65.441,27.5,19.709,8.44,6.049,3.83,2.745,0.8,0.573,5,3.583
Argentina,2020,ARG,45036032,7.36E+11,2.2,1.521,1.64,1.134,88.72,61.338,23.67,16.365,10.01,6.921,7.65,5.289,1.34,0.926,9.41,6.506
Argentina,2021,ARG,45276788,8.12E+11,2.25,1.469,2.38,1.554,89.93,58.72,19.65,12.831,10.17,6.641,13.63,8.9,2.2,1.437,12.94,8.449
Argentina,2022,ARG,45510324,8.55E+11,2.34,1.551,2.14,1.419,80.42,53.318,23.89,15.839,7.47,4.953,17.47,11.583,2.94,1.949,14.16,9.388
Australia,2000,AUS,19017968,6.92E+11,0.89,0.41,180.26,83.134,16.76,7.73,16.47,7.596,0,0,2.27,1.047,0.05,0.023,0.13,0.06
Australia,2001,AUS,19248146,7.14E+11,0.8,0.357,179.88,80.21,24.5,10.925,16.12,7.188,0,0,2.62,1.168,0.05,0.022,0.29,0.129
Australia,2002,AUS,19475842,7.47E+11,1.27,0.568,171.86,76.898,30.55,13.67,16.09,7.199,0,0,3.13,1.401,0.06,0.027,0.53,0.237
Australia,2003,AUS,19699004,7.74E+11,1.69,0.748,173.61,76.836,30.15,13.344,16.21,7.174,0,0,3.53,1.562,0.06,0.027,0.7,0.31
Australia,2004,AUS,19925060,8.1E+11,2.82,1.23,178.96,78.07,27.36,11.936,15.69,6.845,0,0,3.53,1.54,0.07,0.031,0.8,0.349
Australia,2005,AUS,20171732,8.4E+11,3.87,1.677,182.98,79.301,23.26,10.081,15.47,6.705,0,0,3.78,1.638,0.08,0.035,1.3,0.563
Australia,2006,AUS,20467032,8.67E+11,3.93,1.651,185.76,78.054,27.29,11.467,14.95,6.282,0,0,3.8,1.597,0.1,0.042,2.16,0.908
Australia,2007,AUS,20830832,9.11E+11,4.28,1.76,185.49,76.274,33.4,13.734,13.05,5.366,0,0,4.01,1.649,0.11,0.045,2.85,1.172
Australia,2008,AUS,21247876,9.38E+11,3.7,1.508,184.24,75.084,36.31,14.797,11.82,4.817,0,0,5.71,2.327,0.14,0.057,3.46,1.41
Australia,2009,AUS,21660898,9.63E+11,2.79,1.116,182.02,72.837,41.12,16.455,12.64,5.058,0,0,6.6,2.641,0.29,0.116,4.44,1.777
Australia,2010,AUS,22019166,9.94E+11,2.44,0.972,176.02,70.136,46.79,18.644,13.75,5.479,0,0,6,2.391,0.98,0.39,4.99,1.988
Australia,2011,AUS,22357032,1.02E+12,2.57,1.003,171.98,67.106,48.78,19.034,19.57,7.636,0,0,4.91,1.916,2.04,0.796,6.43,2.509
Australia,2012,AUS,22729272,1.06E+12,3.1,1.237,165.38,65.978,49.81,19.872,17.04,6.798,0,0,5.2,2.075,2.41,0.961,7.72,3.08
Australia,2013,AUS,23111788,1.09E+12,3.33,1.334,155.45,62.29,52.72,21.125,19.09,7.649,0,0,5.86,2.348,3.85,1.543,9.26,3.711
Australia,2014,AUS,23469578,1.11E+12,3.55,1.433,155.23,62.681,53.66,21.668,14.48,5.847,0,0,6,2.423,4.95,1.999,9.78,3.949
Australia,2015,AUS,23820240,1.14E+12,3.68,1.449,162.2,63.861,49.71,19.572,14.09,5.547,0,0,6.28,2.473,6.2,2.441,11.83,4.658
Australia,2016,AUS,24195706,1.17E+12,3.63,1.406,162.36,62.874,48.11,18.631,17.63,6.827,0,0,6.02,2.331,7.44,2.881,13.04,5.05
Australia,2017,AUS,24590336,1.2E+12,3.56,1.375,159.17,61.463,55.09,21.273,13.5,5.213,0,0,5.52,2.132,8.92,3.444,13.21,5.101
Australia,2018,AUS,24979228,1.23E+12,3.59,1.367,156.56,59.612,51.46,19.594,17.31,6.591,0,0,5.12,1.95,12.33,4.695,16.26,6.191
Australia,2019,AUS,25357168,1.26E+12,3.47,1.305,149.84,56.352,55.71,20.951,14.02,5.273,0,0,5.09,1.914,18.3,6.882,19.47,7.322
Australia,2020,AUS,25670052,1.23E+12,3.41,1.286,142.93,53.891,53.12,20.029,14.42,5.437,0,0,4.89,1.844,23.84,8.989,22.61,8.525
Australia,2021,AUS,25921094,1.3E+12,3.34,1.249,137.4,51.374,47.63,17.809,15.94,5.96,0,0,5.15,1.926,31.19,11.662,26.8,10.021
Australia,2022,AUS,26177410,1.34E+12,3.25,1.188,130.93,47.863,46.29,16.922,17.12,6.258,0,0,5.47,2,38.84,14.199,31.65,11.57
